ticker,n_days,cum_ON,cum_ID,sum_logON,sum_logID,diff_log,ann_ON_pct,ann_ID_pct,ann_diff_log,mean_ON_bps,mean_ID_bps,vol_ON,vol_ID,vol_close2close,name,sector,sub_industry,market_cap,beta
FTNT,2626,0.547729926754454,14.460736445064153,0.4367892940256908,2.7383036775398866,-2.3015143835141956,4.280667521755246,30.053672871339472,-0.2208612432009053,3.1183130163998065,12.536710755924199,0.26665969840813913,0.3258779469552187,0.4070657945932396,Fortinet,Information Technology,Systems Software,106453811200,1.109
AAPL,2626,0.20351707443010297,9.293922138687172,0.18524816545244283,2.3315536374451256,-2.1463054719926826,1.7936003960374374,25.075067794672577,-0.20596686174491852,1.391049924620924,9.869790950543539,0.18504641878199735,0.223571555122622,0.28857738163056074,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",4316467298304,1.086
EBAY,2626,-0.22811990147310496,5.071624023164868,-0.2589260538086371,1.803626118407589,-2.0625521722162263,-2.454127892791034,18.896379977343177,-0.19792960677779475,-0.1922427711721012,8.12738022751411,0.19946686624750426,0.25193727824885204,0.3115330399119843,eBay Inc.,Consumer Discretionary,Broadline Retail,48802258944,1.372
HPQ,2626,-0.3445940139052546,3.681392557066572,-0.4225004092608947,1.543595620597622,-1.9660960298585168,-3.9733658300912738,15.966219276924273,-0.18867334330706254,-0.7469921856757363,7.4062990832328515,0.20758016654813916,0.2781630060596691,0.35270301467987436,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",22853920768,1.184
ABNB,1382,-0.6172358862579941,1.4782543093466534,-0.9603363705533101,0.9075544047961606,-1.8678907753494707,-16.063698184296864,17.996820022480193,-0.3405994756787747,-5.6473361515213965,9.615132861712047,0.2546910161473312,0.39267354799042375,0.45943192196925725,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",81467449344,1.159
ACN,2626,-0.4104121234252308,2.3462409774785966,-0.5283315004371903,1.2078376195405636,-1.7361691199777538,-4.943668747079297,12.28928486695747,-0.16660876551195503,-1.4731761952586784,5.4673384126380125,0.16440567291986496,0.20933448586326672,0.26708460066800543,Accenture,Information Technology,IT Consulting & Other Services,105245556736,1.069
FFIV,2626,-0.1431953585007458,3.7632708378591904,-0.15454534261390832,1.5609345830740609,-1.7154799256879691,-1.472126988053825,16.159336846511607,-0.16462335920539536,0.27723928222600475,7.037619459249524,0.20939748842028186,0.23493221195768355,0.2968067829054223,"F5, Inc.",Information Technology,Communications Equipment,22165993472,1.046
WDAY,2626,-0.4349363598888692,1.9722789825805522,-0.5708169168139746,1.0893289927664414,-1.6601459095804159,-5.330428903955774,11.019509390928661,-0.15931331653246944,-1.0069966860091342,6.154452950516556,0.24166568590449797,0.31826237730370377,0.3958575617263804,"Workday, Inc.",Information Technology,Application Software,32631369728,1.081
HOOD,1224,-0.22699942906503592,2.7147216413726944,-0.2574754917986566,1.312303747064394,-1.5697792388630505,-5.1629148896633374,31.02005056108646,-0.32318984329533396,1.3251222868426509,18.39679885993909,0.41704373086369223,0.6281946631744874,0.7406287129273902,Robinhood Markets,Financials,Investment Banking & Brokerage,89474187264,2.348
HCA,2626,0.17957331213076566,4.366253865415129,0.1651527731953873,1.680130060875988,-1.5149772876806007,1.5974884280046713,17.49564281537306,-0.1453824358322587,1.4016043935062867,7.779218832705993,0.19635429082779576,0.2646106816077008,0.3232796281110841,HCA Healthcare,Health Care,Health Care Facilities,86923485184,1.134
NTAP,2626,0.3438970933496722,4.975588305005672,0.2955736717213605,1.787682554059415,-1.4921088823380546,2.8770363321256838,18.71460768796192,-0.14318790493114614,2.259991511031859,8.354641515494308,0.2393431346417668,0.2796598539053438,0.3575854039019691,NetApp,Information Technology,"Technology Hardware, Storage & Peripherals",31545065472,1.434
HPE,2626,0.2977678400797294,4.640361129400482,0.2606457425617318,1.7299480934956788,-1.4693023509339471,2.532789882823023,18.05870023389762,-0.14099931166616705,2.2024791110615864,8.4000667405017,0.250830784886247,0.3027298595762176,0.3747020610202989,Hewlett Packard Enterprise,Information Technology,"Technology Hardware, Storage & Peripherals",63939166208,1.448
