ticker,n_days,cum_ON,cum_ID,sum_logON,sum_logID,diff_log,ann_ON_pct,ann_ID_pct,ann_diff_log,mean_ON_bps,mean_ID_bps,vol_ON,vol_ID,vol_close2close,name,sector,sub_industry,market_cap,beta,abs_diff
YUM,2626,0.929325316726852,0.868495947876893,0.6571703649751068,0.6251338012907385,0.03203656368436836,6.509535517693699,6.182591930704342,0.003074338936961472,2.825673764856882,3.058859164710441,0.12745903144062226,0.18499097642637005,0.2278451716709538,Yum! Brands,Consumer Discretionary,Restaurants,42663407616,0.574,0.03203656368436836
VEEV,2626,1.3602299909926647,1.444362475089561,0.8587590680996559,0.8937843425419487,-0.035025274442292864,8.590036943473391,8.955637977021588,-0.0033611459099230014,4.251918116997355,5.345125126621806,0.22216693564243298,0.31300181840339486,0.3825258431794822,Veeva Systems,Health Care,Health Care Technology,26996451328,0.949,0.035025274442292864
AJG,2626,1.4859986634988775,1.5949057957027741,0.910674455477304,0.9535502137249114,-0.042875758247607476,9.132380108232635,9.582330898960398,-0.004114505361156543,3.789652308632802,4.402281628040263,0.12575931436332866,0.19662614754088362,0.2289082379201659,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,55843774464,0.533,0.042875758247607476
ALGN,2626,0.6217789164779268,0.7045903530440036,0.48352364336854803,0.5333248197236278,-0.049801176355079746,4.749394602550997,5.251199761687489,-0.004779092323488231,3.794547505189237,4.662065572747797,0.30881739107933115,0.36419884386612883,0.4856231270297621,Align Technology,Health Care,Health Care Supplies,12724563968,1.671,0.049801176355079746
DGX,2626,0.8264899114288857,0.9198080378740923,0.6023960437935909,0.6522252007674192,-0.04982915697382828,5.951154795969804,6.45900287828661,-0.004781777439986568,2.607345673675307,3.292012996301452,0.12504108222610374,0.20186395916907707,0.23624663685817815,Quest Diagnostics,Health Care,Health Care Services,22435952640,0.587,0.04982915697382828
AMT,2626,0.6220871027514707,0.5425021680619284,0.48371365508459563,0.4334058823471009,0.050307772737494705,4.75130463911202,4.246814771031719,0.004827707056301853,2.1533127297582983,2.6470245503247525,0.12430023657518909,0.2243902149838437,0.2602096379851322,American Tower,Real Estate,Telecom Tower REITs,86677069824,0.891,0.050307772737494705
CMI,2626,2.0823974832367345,2.2498216000990117,1.1257076978347766,1.1786001025577828,-0.05289240472300616,11.407758659197906,11.974672704807228,-0.0050757372392222205,4.829794246372731,5.539169737444838,0.1648252264702694,0.2305203294632808,0.28317896720883995,Cummins,Industrials,Construction Machinery & Heavy Transportation Equipment,94613585920,1.24,0.05289240472300616
MKC,2626,0.21634130056674986,0.14830526441920364,0.19584741897035254,0.13828717232246257,0.05756024664788997,1.8971915002686561,1.3358957168127275,0.00552367941937101,1.0564783346748319,1.3681100698554496,0.12403951563217891,0.20610341881492716,0.23952133895207345,McCormick & Company,Consumer Staples,Packaged Foods & Meats,13079222272,0.641,0.05756024664788997
MSCI,2626,2.0087772902727754,2.1974580222686226,1.1015337803765524,1.162356126087146,-0.06082234571059364,11.149613106503477,11.800259436132574,-0.005836721675197867,4.676703766957252,5.779396233724374,0.15564832510281074,0.2610314421390313,0.30792382205481855,MSCI Inc.,Financials,Financial Exchanges & Data,44051832832,1.226,0.06082234571059364
MO,2626,0.5001934215774346,0.5977930744235644,0.40559404751341177,0.4686233486112764,-0.06302930109786464,3.968959375127083,4.599722195843095,-0.006048508711600111,1.8572558802014838,2.572150055710365,0.1250013405537223,0.198604754912048,0.22725001962309443,Altria,Consumer Staples,Tobacco,115982295040,0.501,0.06302930109786464
GLW,2626,2.8436152623470483,2.6020494827565557,1.3464133982599669,1.2815029842375711,0.06491041402239572,13.792504129182175,13.085890615205747,0.006229026783565774,5.9983273421066725,6.232499749818066,0.20979163607465104,0.2611955866982737,0.3365297449152339,Corning Inc.,Information Technology,Electronic Components,162647638016,1.155,0.06491041402239572
LII,2626,1.1038973354027823,1.260975287946208,0.7437914987242957,0.8157962635351779,-0.07200476481088214,7.3985819676090765,8.143257210729974,-0.0069098251075180115,3.3625645316913553,4.396491187969723,0.16332329918386923,0.25485927194484265,0.2899894230209849,Lennox International,Industrials,Building Products,18422059008,1.19,0.07200476481088214
SJM,2626,0.09592050431742188,0.17850021832812624,0.09159465333811384,0.16424262865336653,-0.07264797531525269,0.8828481428928109,1.5886152295599851,-0.006971549801768347,0.6431422701636055,1.5229708721249509,0.1213721690585445,0.21271077191544183,0.2431045505572899,J.M. Smucker Company (The),Consumer Staples,Packaged Foods & Meats,12157908992,0.264,0.07264797531525269
CRWD,1761,2.550725801929788,2.293668483347198,1.267152033837844,1.1920019841123803,0.07515004972546357,19.88108458196397,18.59878940276043,0.010754010522894276,9.389225319328116,11.298986274604303,0.3329661296641707,0.47891297148507506,0.5564963769602258,CrowdStrike,Information Technology,Systems Software,173104070656,1.244,0.07515004972546357
PEG,2626,0.7870997067854479,0.6573331272731875,0.5805940302477723,0.5052097606479986,0.07538426959977373,5.729715912338106,4.967612878740119,0.00723413402099885,2.4192718441527714,2.662953930212729,0.10216799140023222,0.19311584626171555,0.21801443443178423,Public Service Enterprise Group,Utilities,Electric Utilities,39706251264,0.533,0.07538426959977373
